date;numéro de compte;libellé;centre de coût;débit;crédit
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
01/01/2026;610;test;Toulouse;35;40
